"film","ceremony","name","winner","Year","Rating_IMDB","Oscarstat_totalnoms","Nom_Oscar_bestdirector","Rating_rtcritic","Nom_GoldenGlobe_bestdrama","Win_GoldenGlobe_bestdrama","genre"
"Selma",87,"Christian Colson, Oprah Winfrey, Dede Gardner and Jeremy Kleiner, Producers","False",2015,7.5,1,"0",99,1,0,"Biography"
"Sense and Sensibility",68,"Lindsay Doran, Producer","False",1996,7.7,7,"0",98,1,1,"Drama"
"Shakespeare in Love",71,"David Parfitt, Donna Gigliotti, Harvey Weinstein, Edward Zwick and Marc Norman, Producers","True",1999,7.2,13,"1",92,0,0,"Comedy"
"Shine",69,"Jane Scott, Producer","False",1997,7.7,7,"1",91,1,0,"Biography"
"Ship of Fools",38,"Stanley Kramer, Producer","False",1966,7.2,8,"0",81,1,0,"Drama"
"Sideways",77,"Michael London, Producer","False",2005,7.5,5,"1",96,0,0,"Comedy"
"Silver Linings Playbook",85,"Donna Gigliotti, Bruce Cohen and Jonathan Gordon, Producers","False",2013,7.8,8,"1",92,0,0,"Comedy"
"Slumdog Millionaire",81,"Christian Colson, Producer","True",2009,8,8,"1",92,1,1,"Drama"
"Sounder",45,"Robert B. Radnitz, Producer","False",1973,7.7,4,"0",88,0,0,"Drama"
"Spotlight",88,"Michael Sugar, Steve Golin, Nicole Rocklin and Blye Pagon Faust, Producers","True",2016,8.1,6,"1",96,1,0,"Crime"
"Star Wars",50,"Gary Kurtz, Producer","False",1978,8.7,11,"1",93,1,0,"SciFi"
"Taxi Driver",49,"Michael Phillips and Julia Phillips, Producers","False",1977,8.3,4,"0",99,0,0,"Crime"
"Tender Mercies",56,"Philip S. Hobel, Producer","False",1984,7.4,4,"1",85,1,0,"Drama"
"Terms of Endearment",56,"James L. Brooks, Producer","True",1984,7.4,11,"1",88,1,1,"Comedy"
"Tess",53,"Claude Berri, Producer;  Timothy Burrill, Co-Producer","False",1981,7.3,6,"1",85,0,0,"Drama"
"The Accidental Tourist",61,"Lawrence Kasdan, Charles Okun and Michael Grillo, Producers","False",1989,6.8,4,"0",79,1,0,"Drama"
"The Artist",84,"Thomas Langmann, Producer","True",2012,7.9,10,"1",96,0,0,"Comedy"
"The Aviator",77,"Michael Mann and Graham King, Producers","False",2005,7.5,11,"1",87,1,1,"Biography"
"The Big Chill",56,"Michael Shamberg, Producer","False",1984,7.2,3,"0",68,0,0,"Comedy"
"The Big Short",88,"Brad Pitt, Dede Gardner and Jeremy Kleiner, Producers","False",2016,7.8,5,"1",88,0,0,"Biography"
"The Blind Side",82,"Gil Netter, Andrew A. Kosove and Broderick Johnson, Producers","False",2010,7.7,2,"0",66,0,0,"Biography"
"The Cider House Rules",72,"Richard N. Gladstein, Producer","False",2000,7.4,7,"1",71,0,0,"Drama"
"The Color Purple",58,"Steven Spielberg, Kathleen Kennedy, Frank Marshall and Quincy Jones, Producers","False",1986,7.8,10,"0",88,1,0,"Drama"
"The Conversation",47,"Francis Ford Coppola, Producer;  Fred Roos, Co-Producer","False",1975,7.9,3,"0",98,1,0,"Drama"
"The Crying Game",65,"Stephen Woolley, Producer","False",1993,7.3,6,"1",97,1,0,"Crime"
"The Curious Case of Benjamin Button",81,"Kathleen Kennedy, Frank Marshall and Ceán Chaffin, Producers","False",2009,7.8,13,"1",72,1,0,"Drama"
